personality,item,correlation,p_value
Openness,NumberOfLecturesWatched,0.12638317790564502,0.2033364936213343
Openness,ViewingTime,0.09177540960317607,0.356529016959068
Openness,NumberOfConfirmationTestsCompleted,0.07347131421195664,0.4607879973404875
Openness,NumberOfConfirmationTestsMastered,0.10797870822437346,0.2776259463140048
Openness,AverageFirstAttemptCorrectAnswerRate,0.04098153982060328,0.6810622674373683
Conscientiousness,NumberOfLecturesWatched,-0.10775587103378911,0.2786246002450619
Conscientiousness,ViewingTime,-0.13656195041657165,0.16897918555360672
Conscientiousness,NumberOfConfirmationTestsCompleted,0.30144073510805675,0.0019730253863530904
Conscientiousness,NumberOfConfirmationTestsMastered,0.3291769581782061,0.0006859138571119571
Conscientiousness,AverageFirstAttemptCorrectAnswerRate,0.06016175093037428,0.5460626127711358
Extraversion,NumberOfLecturesWatched,-0.07631711834694248,0.4435573446528792
Extraversion,ViewingTime,-0.07702348999464047,0.43933731210300364
Extraversion,NumberOfConfirmationTestsCompleted,0.09349059128594993,0.34757390376476627
Extraversion,NumberOfConfirmationTestsMastered,0.07610134645789782,0.4448509505575353
Extraversion,AverageFirstAttemptCorrectAnswerRate,-0.11119572481850759,0.2634762350375874
Agreeableness,NumberOfLecturesWatched,0.2195900501037443,0.025835599248103348
Agreeableness,ViewingTime,0.16544131700097067,0.09490267796030599
Agreeableness,NumberOfConfirmationTestsCompleted,0.054751591746301904,0.5828004367047345
Agreeableness,NumberOfConfirmationTestsMastered,0.062257657028137944,0.5321407322681575
Agreeableness,AverageFirstAttemptCorrectAnswerRate,-0.028603901582166122,0.7742549530631375
Neuroticism,NumberOfLecturesWatched,0.08814029820815542,0.37597650314454145
Neuroticism,ViewingTime,0.145233674312334,0.14326359181783233
Neuroticism,NumberOfConfirmationTestsCompleted,0.05723188956028189,0.565817235959825
Neuroticism,NumberOfConfirmationTestsMastered,0.042618323927218385,0.6690556953932898
Neuroticism,AverageFirstAttemptCorrectAnswerRate,0.05979707634848609,0.5485029704861706
IntellectualCuriosity,NumberOfLecturesWatched,0.048600414647564275,0.625897689071895
IntellectualCuriosity,ViewingTime,-0.042610730223840605,0.6691112096287046
IntellectualCuriosity,NumberOfConfirmationTestsCompleted,0.13980165361294528,0.15899990407426834
IntellectualCuriosity,NumberOfConfirmationTestsMastered,0.14303281724508327,0.14949123490063929
IntellectualCuriosity,AverageFirstAttemptCorrectAnswerRate,0.03985583642486095,0.6893664936363235
AestheticSensitivity,NumberOfLecturesWatched,0.19343214071572296,0.05026584411725224
AestheticSensitivity,ViewingTime,0.165622037097637,0.09453728330318537
AestheticSensitivity,NumberOfConfirmationTestsCompleted,0.07630579696662379,0.44362516646698924
AestheticSensitivity,NumberOfConfirmationTestsMastered,0.12827384822421045,0.19660271646982225
AestheticSensitivity,AverageFirstAttemptCorrectAnswerRate,0.07917878441386206,0.4266023758988835
CreativeImagination,NumberOfLecturesWatched,0.009048955357764326,0.9277167349313444
CreativeImagination,ViewingTime,0.027292093819160698,0.7843496900704681
CreativeImagination,NumberOfConfirmationTestsCompleted,-0.020403013397180498,0.8379142314108429
CreativeImagination,NumberOfConfirmationTestsMastered,0.0039651453692499975,0.9682917524323775
CreativeImagination,AverageFirstAttemptCorrectAnswerRate,-0.05019450593020141,0.6145993410228994
Organization,NumberOfLecturesWatched,-0.12698752675000785,0.2011663084123212
Organization,ViewingTime,-0.14650816957480348,0.13974800360025208
Organization,NumberOfConfirmationTestsCompleted,0.14570598393519268,0.14195305183746088
Organization,NumberOfConfirmationTestsMastered,0.178142695286632,0.07181081449426115
Organization,AverageFirstAttemptCorrectAnswerRate,-0.03867899188870951,0.698087556670282
Productiveness,NumberOfLecturesWatched,-0.05569683979974397,0.5763005048234524
Productiveness,ViewingTime,-0.04485515731025458,0.6527818586850991
Productiveness,NumberOfConfirmationTestsCompleted,0.32025899674646857,0.0009740365814200261
Productiveness,NumberOfConfirmationTestsMastered,0.34423684701237345,0.00037022079692843794
Productiveness,AverageFirstAttemptCorrectAnswerRate,0.09406604065030502,0.34460128727289085
Responsibility,NumberOfLecturesWatched,-0.09183821762490695,0.35619858590686126
Responsibility,ViewingTime,-0.15250321611687737,0.12408286964377142
