personality,item,correlation,p_value
Openness,NumberOfLecturesWatched,0.12638317790564502,0.2033364936213343
Openness,ViewingTime,0.09177540960317607,0.356529016959068
Openness,NumberOfConfirmationTestsCompleted,0.07347131421195664,0.4607879973404875
Openness,NumberOfConfirmationTestsMastered,0.10797870822437346,0.2776259463140048
Openness,AverageFirstAttemptCorrectAnswerRate,0.04098153982060328,0.6810622674373683
Conscientiousness,NumberOfLecturesWatched,-0.10775587103378911,0.2786246002450619
Conscientiousness,ViewingTime,-0.13656195041657165,0.16897918555360672
Conscientiousness,NumberOfConfirmationTestsCompleted,0.30144073510805675,0.0019730253863530904
Conscientiousness,NumberOfConfirmationTestsMastered,0.3291769581782061,0.0006859138571119571
Conscientiousness,AverageFirstAttemptCorrectAnswerRate,0.06016175093037428,0.5460626127711358
Extraversion,NumberOfLecturesWatched,-0.07631711834694248,0.4435573446528792
Extraversion,ViewingTime,-0.07702348999464047,0.43933731210300364
Extraversion,NumberOfConfirmationTestsCompleted,0.09349059128594993,0.34757390376476627
Extraversion,NumberOfConfirmationTestsMastered,0.07610134645789782,0.4448509505575353
Extraversion,AverageFirstAttemptCorrectAnswerRate,-0.11119572481850759,0.2634762350375874
Agreeableness,NumberOfLecturesWatched,0.2195900501037443,0.025835599248103348
Agreeableness,ViewingTime,0.16544131700097067,0.09490267796030599
Agreeableness,NumberOfConfirmationTestsCompleted,0.054751591746301904,0.5828004367047345
Agreeableness,NumberOfConfirmationTestsMastered,0.062257657028137944,0.5321407322681575
Agreeableness,AverageFirstAttemptCorrectAnswerRate,-0.028603901582166122,0.7742549530631375
Neuroticism,NumberOfLecturesWatched,0.08814029820815542,0.37597650314454145
Neuroticism,ViewingTime,0.145233674312334,0.14326359181783233
Neuroticism,NumberOfConfirmationTestsCompleted,0.05723188956028189,0.565817235959825
Neuroticism,NumberOfConfirmationTestsMastered,0.042618323927218385,0.6690556953932898
Neuroticism,AverageFirstAttemptCorrectAnswerRate,0.05979707634848609,0.5485029704861706
