ID,NumberOfLecturesWatched,ViewingTime,NumberOfConfirmationTestsCompleted,NumberOfConfirmationTestsMastered,AverageFirstAttemptCorrectAnswerRate,Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
TKYHS001,0,1684,4,1,0.11,3.75,2.08,3,2.92,3
TKYHS003,4,6699,6,6,0.55,2.83,3.25,3.08,4.08,1.17
TKYHS004,1,6306,6,5,0.63,3.17,2.83,4,4.25,2.42
TKYHS005,1,2709,16,16,0.40,3.42,3.92,4.25,4.25,3.42
TKYHS006,1,3084,5,3,0.53,3.67,3.42,1.33,3.67,4.58
TKYHS008,4,7945,3,3,0.80,3.92,2.5,2.67,4.17,1.33
TKYHS010,4,5139,5,5,0.64,4,1.33,1.67,2.58,4
TKYHS011,0,0,0,0,0,4,2.75,4.92,3.25,2.42
TKYHS012,2,4211,3,3,0.80,3.42,2.25,2.25,3.5,3.25
TKYHS013,0,812,7,5,0.32,3.17,2.83,2.92,3.33,2.42
TKYHS014,1,2700,2,1,0.55,2.67,2.67,2.83,4.08,3.58
TKYHS015,0,4898,33,33,0.64,3.42,3.42,2.33,3.08,3.67
TKYHS016,6,10038,3,3,0.22,4.42,3.75,4.33,3.25,3.33
TKYHS017,0,4604,10,10,0.75,3.83,2.67,3.5,3.5,5
TKYHS018,0,1585,3,3,0.83,3.08,2.58,2.83,2.5,2.33
TKYHS020,0,2044,15,15,0.53,3.67,2.92,2.08,2.33,2.17
TKYHS022,2,6038,15,14,0.44,3.75,1.5,2.25,3.08,4.67
TKYHS023,1,4082,2,0,0.57,3.83,2.58,3.67,3.17,2.08
TKYHS024,4,8148,5,5,0.68,2.83,2.33,2.83,3.08,3.83
TKYHS025,1,2120,11,11,0.43,2.42,3.08,2.58,2.75,2.92
TKYHS026,11,13439,10,0,0.41,2.5,1.42,3.17,3.83,3.33
TKYHS028,2,5517,6,6,0.65,4,1.5,4.67,2.25,2.75
TKYHS029,0,666,0,0,0,3.5,1.67,1.33,2.17,2.25
TKYHS030,0,500,6,2,0.25,3.42,2.92,3.75,3.67,2.83
TKYHS031,9,12237,13,12,0.44,2.92,2.92,3.25,3.08,3.33
TKYHS032,0,2279,2,0,0.65,3.08,2.92,2.83,3.58,2.83
TKYHS033,11,18818,16,16,0.54,3.33,3.42,4.08,3.75,3.5
TKYHS034,1,5771,14,14,0.26,3,1.75,3.92,3.42,3.25
TKYHS035,0,488,10,9,0.47,3,3,3,3,3
TKYHS036,4,5479,9,5,0.51,4,3.08,4.25,4.08,3.58
TKYHS037,2,6077,6,3,0.44,3.08,1.83,2.75,2.58,4.33
TKYHS038,3,7346,11,6,0.54,3.17,2.42,2.58,2.25,4.42
TKYHS039,10,14051,17,17,0.60,3,2.33,4.5,2.17,3.17
TKYHS040,1,6370,11,9,0.72,2.17,3.5,3.25,2.83,2.92
TKYHS041,0,3316,4,4,0.76,3.5,4.5,4,3.58,3.58
TKYHS042,2,2716,11,9,0.48,4.58,2.08,3.42,2.83,2.58
TKYHS043,30,34911,31,31,0.32,5,3.75,3.25,4.33,2.5
TKYHS044,0,477,0,0,0,2.92,1.67,4.17,3.08,2.58
TKYHS045,8,12603,14,13,0.64,2.5,3.5,2.17,3.25,1.67
TKYHS046,2,5476,5,5,0.36,2.92,2.92,2.58,3.25,3
TKYHS048,5,4817,7,7,0.37,2.92,2,1.5,4.08,3.33
TKYHS049,8,12293,13,13,0.57,4.33,2.42,3.17,3.58,3
TKYHS051,0,475,6,0,0.14,3.75,1.75,4.08,3.58,2.17
TKYHS052,0,1325,10,10,0.44,3.08,2.25,2.83,3.17,2.5
TKYHS053,0,3768,10,10,0.49,3.5,3.08,3.33,3,2.92
TKYHS054,3,5411,5,5,0.37,2.58,2.33,2.83,2.42,4.33
TKYHS055,7,15886,26,26,0.75,3.08,2.5,2.92,3.17,2.83
TKYHS056,2,4928,6,5,0.41,2.42,3.17,4.5,3.25,1.5
TKYHS057,2,6381,10,8,0.24,4.08,2.75,3.08,3.25,4.83
TKYHS058,4,5404,13,12,0.55,3.58,2.42,4.17,3.75,3.5
TKYHS060,16,20441,24,24,0.35,3.92,1.83,2.92,4.33,4.67
TKYHS061,1,3183,45,45,0.40,3.17,2.17,3.58,3.5,3.58
TKYHS062,5,16091,24,24,0.52,4.58,4.5,4.42,4.42,2.33
TKYHS063,5,9174,13,13,0.53,3.33,2.67,2.33,3,2.83
TKYHS064,1,1336,6,6,0.42,2.92,2.17,4.42,3.17,4.08
TKYHS065,0,1331,10,7,0.24,3.5,3.92,3.33,4.5,1.67
TKYHS067,0,6028,12,10,0.34,2.92,3.25,4.58,2.92,3
TKYHS068,0,1328,5,2,0.32,3.75,2.67,3.75,2.08,4.5
TKYHS069,3,5470,3,3,0.55,3.25,2.33,3.42,4.25,3
TKYHS071,7,8415,3,2,0.50,3,2.83,2.33,4.17,3.25
TKYHS072,4,9437,5,1,0.38,1.83,1,2.58,2.25,3
TKYHS073,1,4738,15,15,0.27,4.17,2.25,4.42,4.25,2
TKYHS075,2,5042,3,2,0.75,3.33,2.17,4.83,3.92,4.17
TKYHS076,3,7021,4,4,0.55,4.08,2.67,2.5,3.42,3.58
TKYHS077,3,4317,0,0,0,3.17,3.08,2.08,2.92,4
TKYHS078,0,2399,7,7,0.55,3.17,2.92,3.83,1.92,3.08
TKYHS079,6,9887,8,8,0.36,3.17,1.17,3.67,3.25,2.08
TKYHS080,1,5461,4,1,0.48,2.58,2.83,3.92,3.25,2.08
TKYHS081,4,12126,5,5,0.39,3.92,2.5,2.17,3.33,2.42
