,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13,Factor14,Factor15,Factor16,Factor17,Factor18,Factor19,Factor20,Factor21,Factor22,Factor23,Factor24
1　 個性的で少し変わった人と関わるのは少し怖い。,0.10199746387120075,0.15434387207759928,-0.10921726004032001,0.2770489254665858,0.04049572173175369,0.2021287618393968,-0.10534632350329602,-0.034103971951574635,0.010707649955511985,-0.018951280315125697,-0.07398104953916235,0.005872970911200894,0.10835444387373983,-0.2170614264743986,-0.07196199215331311,-0.01326080055619404,0.24209526733450287,0.038796719018245614,0.06263267061035364,-0.10123950170176269,-0.020615238051708534,-0.10552083741982315,0.04086339836167599,0.054606795782389944
2　 自分の行動が愚かだと感じることがある。,0.2492412853910671,0.1960743486084416,-0.3202803886031448,0.07287736943123559,-0.1069608906373768,-0.07913243783042062,0.3267132893448407,-0.045822926035946676,0.0812872244182758,-0.11894510046194655,0.06628215863078062,0.007741842965286163,-0.017702063160005818,0.051252625435830236,0.1035772180767231,0.05727982252730387,-0.004292636883028644,0.02339082887085111,0.0640692317408063,-0.015394491481679914,-0.012223318297474153,-0.06650648380312844,-0.1116729554858454,-0.041933228688011144
3　 簡単に腹を立てる。,0.7748661105430947,0.11035494491436262,-0.14096243763767302,0.08063953910653958,-0.005578323850246869,0.08490272477682048,0.07549503827793669,0.021880833847402328,0.02585084899021149,0.02400121836103051,0.07202637625841778,-0.02685435087225972,0.04623247023047197,-0.080650864641032,0.05968259362745304,0.0446659535858214,-0.005189866231628812,0.044994491590227594,-0.06713218180782625,0.09768567858500964,-0.005089733217671564,-0.053972037172001795,0.04269601851626377,0.05676192614166747
4　 落ち込むことが多い。,0.3049505144382226,0.24970032411847962,-0.5453850590570699,0.03742754128266363,-0.11791624088805876,-0.045566301272165294,0.14089768296378005,-0.024875967397909805,0.1326957495980837,-0.12210488626950503,0.08681764326543544,0.0391282916311183,-0.045571962089261855,-0.12910530765672565,0.1593248508330827,0.13103687011889173,0.006403132010066374,0.0607664421547293,0.04932064756851043,0.020344571654977012,0.016290885976638518,-0.023405413034586722,0.01564142117615838,0.04516237951329911
5　 めったに感情的にならない。,-0.5654057273131811,0.1012612392494527,0.31220143623306806,0.0032147456174884547,-0.020416744156914243,-0.07457123319272684,-0.1448073469062521,0.05241317345314518,0.0028991746892466355,0.010265481488681772,-0.06380508070468106,0.061348362207325244,-0.029181216683524157,-0.05179449078297561,0.04999523730752806,0.00033418909732506075,0.17563703737976216,-0.0038448019264521165,0.12324902341430449,-0.05555635556277121,-0.08420560562951136,-0.09271542470121477,0.10495012875771677,-0.060629706260860484
6　 自分の長所を自慢することがある。,0.21151386958959903,-0.25847653684212973,0.028154863966432624,-0.2553478357739749,-0.05118067576455126,-0.05345679592158303,0.0975360397480474,0.12231529644827893,0.1881243466068503,0.250418988058011,0.010760623773663849,0.09693549818597498,-0.07250309618164359,0.025867531984169835,-0.14925698903261753,0.15115551323481327,0.2269940846836603,-0.11934072363473876,-0.03400012256069462,-0.024134609602737733,-0.03753015047772029,-0.13020696640037444,-0.05917193374469765,-0.14947289312635248
7　 世間の常識とは違うことをする人が好きだ。,0.008392140822297459,0.021693281406925235,-0.0858768881587842,0.33032377351253134,0.15763465528585838,0.24426210456301217,-0.33407747665417087,-0.06378772975467661,-0.02662454977566268,0.047438040034205466,-0.07162705465918069,-0.09513952866534696,0.08491169187068177,-0.1671148472186744,-0.1205936861535084,-0.17258115206489857,0.1149551413823425,0.11319149625413913,0.007788276716158345,-0.05603764239783993,0.1416023607038518,-0.01391773238748293,0.05138710769707867,0.1920744705199842
8　 後先を考えずに行動することがある。,0.12727587177587146,0.013473842735349531,-0.039221649209562545,-0.09609026995846286,0.08895219790619875,0.0005639501834131282,0.7194623281819889,0.004758165583768955,0.07694008891881716,0.06478620107095462,0.13749012703394844,0.056752661791232006,0.014917666926198711,-0.03149453012563179,0.021749592640916398,-0.0211997345086335,0.07548385920110819,-0.008607700425062112,-0.021717617003184215,0.006040052373454964,0.035729289997858425,0.06272406307318301,0.07732031433390357,0.004265773559277762
9　 怒ることはめったにない。,0.7893067316311911,-0.10176924629057173,-0.10039716667380005,0.017035338005783655,0.0529778480508821,0.10524042687672455,0.04260081473275501,-0.06323420229306032,-0.05090620672884149,0.06073933937154373,-0.026801560832429377,0.0009678556898898452,0.06786902138838537,0.030583833018086395,-0.07215486623945414,-0.06894912101685945,-0.042564354353455215,0.06341702555300151,-0.04212327708600705,0.0836091310798288,0.08811114654001681,0.07253660655868094,-0.08192066028705691,0.0930725891718797
10　 ほとんどの時間、健康的で活力を感じる。,0.1318269468158964,0.33686108297466405,-0.2722539870905755,0.018579764558455492,0.03064465470051615,0.08739949379851301,-0.01702830920767125,0.02042512089404462,-0.12212125345935465,0.02927881555611447,0.15052469911560498,-0.038456691183980124,-0.11374437441705537,0.09881596252908743,0.09191237680942921,-0.028657849678126436,-0.09246222800336333,0.49243176904749036,-0.0406517966760586,-0.024073620565078085,0.021221981485689767,0.08056034787942229,-0.01175926561791872,0.0763446661693805
11　 他の人の不幸に深く心を動かされる。,-0.12354296763086352,0.03474491176156654,0.19727678848268873,-0.05349574873038357,0.059353014802330066,-0.014262909733408937,0.009360552517362461,-0.022655070488579496,-0.12237804227812941,-0.04150846951069169,0.05313722463029976,0.26765294821046226,0.025715166044785236,0.07264898735914865,0.031493565394521854,-0.019487584754130805,0.05774762682039281,-0.010032233544474698,-0.07427595605225655,-0.01697114645289599,0.07163675768442568,0.10980142257575443,-0.14788660365479137,-0.007741149139155055
12　 他の人よりも権力を持ちたいと思うことがある。,0.1336427598021889,-0.005866891796567993,0.0028501566081768686,-0.03212556391661119,-0.14194702627896186,-0.03460216133339294,0.08345032526920801,0.20120314908259984,0.20292518769450102,0.6010701543229587,0.022112767291264997,0.027712993131803237,-0.12151229385478063,-0.02086751939786691,-0.051325287791887615,0.006683715266861065,-0.028367445036843696,0.07300886405444765,0.09268558755518788,-0.033174520478475536,0.0016976249913855561,-0.034560737543473545,-0.030812339998504017,-0.009227107695750131
13　 直感的なひらめきが急に訪れることはほとんどない。,-0.0597229491202709,0.09341458543761558,-0.0508868246026952,0.5173286277495249,0.001906983332984054,0.09357233935553891,-0.07561561034852116,0.079920564086013,-0.03798875694622599,0.01896111868756178,-0.06384886706198786,0.04290989494514105,0.09313931499779483,-0.20438913076678744,0.005247440127476789,0.0844576184486347,0.11482308609933772,0.061218925704002815,-0.04526950654454457,0.07845188649337262,-0.13866421169773666,-0.05210025323186354,0.060227776420257326,0.023060758013647677
14　 細かく管理せず、成り行きに任せるのが好きだ。,0.018631781443368352,-0.07652389233960442,0.07416256530425898,-0.013506720695575512,0.21354189442265442,-0.01812066571540778,0.5562810446064148,0.12054082186426346,0.10075833105686849,0.02453225148641908,0.0438837307612003,0.03632793239241218,0.05211827456657777,-0.10287145137280415,-0.02804085499603006,0.05733768522082504,-0.010424431250726717,0.043078403745110176,-0.03833981502933536,-0.06500847332899647,-0.04789408427676956,-0.0816475596977638,0.01661306199394062,-0.05966650314441687
