,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
3　 簡単に腹を立てる。,0.12030680661745015,0.6949646978735223,0.11933695971663802,-0.2350324005064988,0.08598881251209534,0.0901705145859706
7　 世間の常識とは違うことをする人が好きだ。,0.01884045002945989,-0.052315673776503174,0.5121032922137492,-0.06784018669345221,-0.04039060038624305,-0.11817942234350988
9　 怒ることはめったにない。,-0.07723753315382471,0.7090152377046882,0.09260255962461254,-0.11741017162731465,0.07920224827660291,-0.024361640751302146
13　 直感的なひらめきが急に訪れることはほとんどない。,0.14340988013724737,-0.13227805871973333,0.489180920534339,-0.09806544917275935,-0.0069428639867131015,0.03321514095958623
19　 新しいアイデアを考えるのが大好きだ。,0.17975188458557656,-0.041082641582132595,0.5791342383404632,-0.020363486313165098,0.16753870994015552,-0.130816387182446
21　 自分が整理したものを他人が変えるとイライラする。,0.013728193104129956,0.47494761540215286,-0.03081452207686782,-0.08946915586427576,-0.24229904550432974,-0.04561122744532826
22　 グループに参加するのが楽しい。,0.5976308963728235,0.16091887889207676,0.05387986247100674,0.07172018475928428,0.05669124659275367,-0.1492954158339401
23　 頻繁に誰かの助けを必要とする。,-0.02327988882487028,0.05369935890364424,-0.11158945156100851,0.32257220463600433,-0.17090084024039123,-0.3501741136049779
24　 社会的地位を求める。,-0.09311234554196389,0.06239792625862284,-0.10838262166645982,-0.05224320061696603,-0.08668520379656447,0.5609658879026622
25　 何かを深く調べて探求することはないだろう。,0.043605954776887446,-0.12380514857565625,0.4552723236990377,-0.06335505901504024,0.18045555594398344,0.12644227640502925
30　 誰かをつい利用してしまっても、後悔しないだろう。,-0.05382204652212954,0.019583314934433223,-0.010709097558482551,0.23997354079841288,0.10263570714785025,0.36829314084193604
32　 仕事をうまくやり遂げるように心がけている。,0.16338496625215432,-0.10410716690815808,0.20540642495395822,0.18775450331713223,0.3855850628437722,0.19140426661517923
33　 相手が期待に応えてくれないとき、イライラして怒ることがある。,-0.024760057293279746,0.6007735045483716,-0.002515077298675337,-0.21079899675396557,-0.08891330206025001,0.09141814723059481
41　 リスクを負うことに抵抗がない。,-0.18319227828768006,-0.07761772791631534,-0.25157830994980124,0.26308566055093585,0.005829077488848786,0.26457081137446936
42　 相手が自分を大切に思えるように、私は相手に言いなりになる。,0.029609764664821493,-0.08596553444429494,0.20761826483411897,-0.17476946055164977,0.0632177715477625,0.3859252224375614
45　 他人を許すのが難しい。,0.2093970534953209,0.5231154336394787,0.01063842442635749,-0.07352702456939014,-0.04455279792096492,0.19381166263615876
46　 勢いよく、賑やかに笑う。,0.6216564301239385,-0.10288532888362319,0.05253366962484682,0.22208044854454448,-0.05591911287980651,0.03936734128741347
10　 笑顔でいることが多い。,0.6459861201596604,0.19066827754411778,0.0901707642964702,0.1813008171925492,0.06371286043261941,0.04759770553594528
11　 他人の必要としていることに対して敏感に反応する。,0.22780802135842865,-0.12639467458472353,0.18143880442328122,0.34870482238788597,0.20510691399391254,0.03471379342029813
15　 自分の要求が多く、満足しにくい。,0.1861517585086695,0.40595757401165633,-0.14149756940424593,-0.16129003796906005,-0.09572496800007166,0.28631392463422356
18　 高級レストランで食事をするのが好きだ。,-0.14415512189463847,-0.07125264901637292,-0.04356475280573727,-0.029741825410140046,-0.04751725863443905,0.3112928606148913
21　 批判されると感情的に反応する。,0.006492535899779193,0.5139575969483797,-0.001816250462223593,-0.3496465687262567,0.06208704768228126,0.11270454294895053
22　 友達を作るのが得意だ。,0.68682245858257,0.12454201605525335,-0.0012602788433079789,-0.04005259855682873,0.11918032694736988,-0.1893211196018173
23　 誰かに守られたいと感じる。,-0.04725602240801984,-0.1266173478859752,-0.14572590700502946,0.5295211561196265,-0.049461877232093894,-0.15301419434815913
24　 権力を強く求めている。,-0.023596902582585122,0.0945253681995975,-0.12412519144077412,-0.0033611859342696916,-0.08456036204701546,0.6648653732258482
27　 毒舌になることがある。,-0.02997165472070761,0.4838072646792511,-0.2512223299921959,-0.12925264166948602,0.0840742707750497,0.032282940922085335
28　 注目されるのが苦手だ。,0.4072424626163558,0.096093275769458,0.14094753318632994,-0.15904898188964747,-0.03693780293637225,-0.3325752801916117
29　 プレッシャーがかかっても冷静でいられる。,-0.28557979911390663,-0.17643408820603315,-0.16287448611198166,0.45123372361870806,-0.17433890814111128,0.20208465576791682
32　 とにかく一生懸命働く。,0.2120718351770761,0.1295926483071669,0.1589881271620846,0.040795317006107515,0.4242404162237188,-0.011864546496621484
34　 リーダーシップを発揮できる。,0.5271733088637327,-0.014316340354007301,0.1945369027657128,-0.17841025121767667,0.18888337703323793,-0.29736272308852446
35　 不安なことが頭に浮かぶとなかなか落ち着かない。,-0.17719737641575986,-0.23158740032673214,0.024914587096585502,0.4928415914778868,0.08557202222159212,0.10679673319236116
36　 誰かから物を盗んだら、長い間罪悪感を感じるだろう。,0.04510211929968641,-0.0062715921069409885,0.04849368500796827,0.370859278287708,0.16702621395327177,0.46361353558802626
38　 物を元の場所に戻すのをよく忘れる。,0.03921102481192398,0.18392434242096137,-0.1182433601306747,-0.2294622033097263,0.4700532982926813,0.06398714560881966
42　 権力を持っている人を喜ばせる必要があると感じる。,-0.14196043694409086,-0.009121775349396437,-0.01484772713975394,-0.19449863068866416,-0.1087268744319836,0.4333010254962118
45　 怒るべき相手にも優しく接する。,0.1435401257858002,0.4450526172799662,0.0922868027778518,0.17631710591133648,0.08844202936856119,-0.16279933200351726
47　 危険な状況に直面すると震えが止まらない。,-0.10992529282467567,-0.134114531193185,-0.07439231682715675,0.49653453626076743,0.010368946212641247,-0.0709904624082921
8　 計画に従って物事を進める。,0.022487187419326097,-0.014953007314103584,-0.20909523301423083,-0.029609339251388967,0.6439576551168998,0.03333229534822344
10　 たいてい元気いっぱいで活発に動いている。,0.6846426850944725,0.05648154117827155,0.06777698781620174,-0.00034683315262963295,0.18029699871540397,0.038705778344298426
11　 映画を観ていると泣くことがある。,0.1433502232888919,-0.0734359170472986,0.06945583482697897,0.3801056633253864,-0.003936650353125544,0.17520226865463087
12　 自分は特別ではなくただの普通の人間だと思う。,-0.12378492846639108,0.06103983838766419,-0.22693585355095772,0.27685054731116576,-0.017441410009690867,0.44975571060026104
14　 仕事で最高の品質を追求したい。,0.16584447165501331,-0.00972535213095858,0.26478515369822575,0.08555200658866097,0.5594663037482674,-0.06790888084821115
16　 社交的なやり取りが多い仕事は苦手だろう。,0.6410966794694196,0.10148702329750058,0.07620636289756877,-0.11427712571943756,0.02436209935109892,-0.08306559838213987
20　 細部にこだわる。,-0.07284475610136991,-0.09186273185602507,0.17737196599209942,0.037462244105938264,0.5738122991199608,-0.02366159697737398
24　 贅沢な買い物や高級な食事をするのが好きだ。,-0.03824453947315972,0.006030294090805142,-0.012262240288690676,-0.05715193418784298,-0.02343379329376005,0.3063295159764133
25　 難しい内容の本は読まないようにしている。,0.015206820250625645,0.14406839721745515,0.45218091343760125,-0.14776856321815615,0.08952310613405061,-0.08782578920410901
27　 他人の悪口を言うことがある。,-0.07970805486588461,0.552950556016369,0.15824921040108325,-0.192621060343434,0.08656358300225335,0.04967126518988417
28　 他人に話しかけるのが難しいと感じることがある。,0.5094959800603246,0.17355885916164912,0.023580815491805022,-0.28850409253860965,0.020398567784833257,-0.0657071581358066
32　 仕事に厳密さを求める。,0.044858041036808106,-0.07097511924204335,0.19675946748123208,0.01129937718735332,0.5863594428384414,-0.03255628225993838
37　 詩が好きではない。,0.04880541318936346,0.12654994754257753,0.4402099951474372,0.058446103642892044,-0.024471377428492258,0.07395853666474225
40　 普段あまり人と話さない。,0.726781649307946,0.043322948526009444,0.08708933546556358,-0.07900549852524968,-0.0247283275543529,0.09989418935594298
43　 他の人が気づかないような美しさを見つける。,0.1465795256279389,0.06646927650115861,0.5471642350285488,0.1514511204140959,0.13711885599390983,-0.1752991526462625
44　 整然としていることを好む。,-0.04159591505140589,0.16479457692250832,0.10906019847602103,0.09918392797659505,0.46938531715109394,-0.07077271129416038
45　 他人を許す傾向がある。,0.2243099058383549,0.5014604536056066,0.10593885540739956,0.14170701185421786,0.004633443991972178,0.01449939339135589
46　 飲み会では盛り上げ役になる。,0.5711590061133275,0.007411646506105931,0.09741016354338623,0.020305900223429218,0.03558973171489951,-0.2792080943907514
6　 自分は普通の人よりも注目される存在だと思う。,-0.2767558838483444,0.05729731804684762,-0.19782379458051863,0.11605995554943832,-0.10751941390347758,0.5821220566934519
7　 自分のアイデアが時々他人を驚かせることを知っている。,0.21534934809704248,-0.10250449784401792,0.5217481543311965,-0.021822536153704032,0.1842328682971569,-0.33552147681277267
8　 事前に計画を立てて、その通りに行動するようにしている。,-0.016587448794391023,-0.031026380247516857,-0.14917777565254797,0.03497544362169552,0.6230977515998712,-0.023215422583710094
9　 めったに他の人に対して怒りを感じない。,0.041301609949776864,0.6986930663951756,0.00786664905358682,-0.11825956060751584,0.08880508252278273,-0.1004042603166446
11　 悲しい出来事を聞くとすぐに悲しくなる。,0.10574902586918801,-0.07703433836956113,-0.00021610727734498817,0.5829708523806557,0.06736500425695341,0.13477981814100345
12　 自分自身を平凡な人だと感じている。,-0.14544862373406992,0.044861026629743554,-0.31725524774940517,0.2966378496696791,0.03107534507776912,0.411512903468683
13　 想像力があまり豊かではない。,0.18526781268720277,0.053732307244352844,0.49115716500030593,-0.07394163214631351,0.06635976525726217,-0.0856035224094917
15　 他人のミスにイライラする。,0.0596875597677372,0.6173754068141855,0.08368426153401723,-0.10511161882013395,-0.1165720145696727,0.13854095423466622
17　 悲しんでいるとき、表情に出やすいのではないかと感じることがある。,0.07689432861812674,-0.21229915226393312,0.07846110577326877,0.5219495920363697,-0.007130237420445969,0.020248327121264016
20　 すべてが完璧になるまでやり続ける。,0.05337281052619551,-0.11073884495389974,0.11532181237699445,0.029509192144232893,0.6425101190347309,-0.1480141869001609
22　 飲み会などの集まりの場ではできるだけ多くの人と話す。,0.6349680139244508,0.07391006434535458,0.04842953019915308,-0.014327807676645413,0.06306505452371078,-0.2369343239030341
23　 他人に影響されやすい。,0.12142914437221941,-0.07204268560107227,-0.08736677069376458,0.47647419119090295,-0.13510356817467206,-0.040204448856064286
30　 仕事で上手くいくなら不正をする。,0.033336501823474314,0.13853878372267117,0.04309916666252992,0.1417789309202943,0.122761839854227,0.49718027493059946
35　 普段いろいろなことを心配する。,-0.22946625522438605,-0.2417565346840853,-0.00801088644913705,0.4666554471901997,0.22347617939123746,-0.012094983759543668
37　 絵画や写真の感情的な側面にほとんど気づかない。,0.11245125553303434,0.14319204548595404,0.45269436862917506,0.00991306550134121,-0.01242587345651586,-0.049742834672994216
38　 持ち物をあちこちに置きっぱなしにする。,0.06902706369792912,0.23756375028253265,-0.10318391810869575,-0.25069088672583506,0.45065700929817604,0.027584038690476004
45　 嫌なことをされても許して忘れるように心がけている。,0.241208291045629,0.4712436017164021,0.010500869342095185,0.061712507154111196,0.05855341544833762,-0.03780649177285549
47　 危険が迫るとパニックになるだろう。,-0.16266328677398015,-0.1422570607666344,-0.1072541588732506,0.5933941715518442,-0.13497307352213206,0.05275228681696701
