,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,f1,~,f3,0.20018967531108706,0.12875984424230372,0.16802560825009813,1.1914236014067738,0.23348733219919682
1,f2,~,f4,-5.742617484877713,-0.902938396419017,9.793475249110774,-0.586371777005159,0.5576257060182841
2,y3,~,f1,1.0,1.0,-,-,-
3,y4,~,f1,0.9986051662809791,0.9986039398696097,0.015553602717536563,64.20410655666649,0.0
4,y5,~,f1,0.31735205146606815,0.31735593211741797,0.09355429931996424,3.3921696145390707,0.00069341500892528
5,y1,~,f2,1.0,0.9100854783762891,-,-,-
6,y2,~,f2,0.8211690674423177,0.7474597502751336,0.2523535584598393,3.2540419578420496,0.0011377547409907596
7,c1,~,f3,1.0,0.6432271737238504,-,-,-
8,c2,~,f3,1.1955439691372058,0.7689726653111857,0.19689449173800422,6.072003125013639,1.263244842064637e-09
9,c3,~,f3,1.3470943961955777,0.8664439275885627,0.22575302896817062,5.967115490528103,2.4148449906391534e-09
10,n1,~,f3,-0.2672922311959114,-0.1719117187710693,0.16911558943341082,-1.58052981448867,0.11398558464679409
11,n1,~,f4,-0.7754044797754553,-0.11101119010816572,1.0197101945334854,-0.7604165221957404,0.4470056503040505
12,e1,~,f4,1.0,0.1432527987039199,-,-,-
13,a3,~,f4,-2.1805875647001445,-0.3121477320066563,1.9333112136333452,-1.1279030242632047,0.2593608765263422
14,f1,~~,f1,0.9834510053893281,0.9834209025106978,0.1382679097740014,7.112648242022779,1.1384226894506355e-12
15,f2,~~,f2,0.15314582740929927,0.18470225227225395,1.078852600803766,0.1419525033309098,0.8871175225153427
16,f3,~~,f3,0.4137050560947216,1.0,0.12434175200793005,3.327161226303212,0.0008773559589576596
17,f3,~~,f4,-0.0050252342352842564,-0.05456902252497531,0.01434749235288843,-0.35025174513665636,0.7261497761090663
18,f4,~~,f4,0.02049884737946811,1.0,0.04420081982292942,0.46376622562938197,0.6428152436122165
19,a3,~~,a3,0.9028883394698494,0.9025637934031009,0.19887653009542064,4.539944150433965,5.626913086143048e-06
20,c1,~~,c1,0.5862075923862337,0.5862588029832276,0.09691235653268707,6.048842617736427,1.4589007779619578e-09
21,c2,~~,c2,0.40868116261163623,0.40868104000421157,0.09283396329231297,4.402280675235099,1.0711885501502039e-05
22,c3,~~,c3,0.24927834298311558,0.24927492034490525,0.0989943886738367,2.5181057868028374,0.011798787811772904
23,e1,~~,e1,0.9784039079798511,0.9794786356634941,0.14055078148018219,6.96121286320166,3.3735236826260007e-12
24,n1,~~,n1,0.9603218431361608,0.9602056806587452,0.13643185603756336,7.038838809498563,1.9384494009955233e-12
25,y1,~~,y1,0.17192983594861524,0.171744422048601,0.24482060827340282,0.7022686413551866,0.4825116456530949
26,y2,~~,y2,0.44163176642123575,0.441303921718635,0.17544206114445787,2.5172513565893513,0.011827441751453449
27,y3,~~,y3,0.0,0.0,0.01467784677466943,0.0,1.0
28,y4,~~,y4,0.0027902635386476797,0.0027901712768926153,0.014642092311830562,0.19056453675016305,0.8488667765388822
29,y5,~~,y5,0.8992907462155137,0.8992852123498848,0.12532182909864076,7.175850788935633,7.185363415374013e-13
