,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,f1,~,f3,0.5847125177114637,0.3247712010542175,0.20209951093917447,2.8931911561357038,0.0038134912746858873
1,f2,~,f4,1.3391598360625059,0.0,0.9300911131794626,1.439815752548399,0.14991953326027208
2,y3,~,f1,1.0,0.9970807629244276,-,-,-
3,y4,~,f1,1.0029292787107582,1.0000000000000002,0.024818298096863617,40.4108805026035,0.0
4,y1,~,f2,1.0,0.9460845960692276,-,-,-
5,y2,~,f2,1.0342586177284985,0.978432754167192,0.16144709510414337,6.406176692463444,1.4921397450962104e-10
6,c1,~,f3,1.0,0.5536106849271978,-,-,-
7,c2,~,f3,1.655888526254223,0.9157420925152826,0.29695717705560437,5.576186245663921,2.458487124989972e-08
8,c3,~,f3,1.3381138726470299,0.740464065909335,0.24986146716369867,5.355423098372342,8.535644480112126e-08
9,e2,~,f3,0.7344348115497521,0.4067072577828411,0.20914469214141768,3.511611047961172,0.00044539933852516533
10,a2,~,f3,0.7988150344601074,0.4423300492614507,0.21258589709489875,3.7576106664298488,0.00017154350819215125
11,e1,~,f4,1.0,0.0,-,-,-
12,n1,~,f4,-0.8409328041514287,-0.0,0.7146068239602701,-1.1767769015833036,0.23928456430598177
13,f1,~~,f1,0.8897104837190543,0.894523666965801,0.12808868949747762,6.946050328117603,3.75655062612168e-12
14,f2,~~,f2,0.8950198501958067,0.9999999999999999,0.21276519499529117,4.206608370374714,2.592318013072692e-05
15,f3,~~,f3,0.3068506958408983,1.0,0.10739374099624414,2.857249342387397,0.004273300013861947
16,f3,~~,f4,0.103059341443179,inf,0.06055092966130097,1.7020274010316936,0.08875023180794939
17,f4,~~,f4,0.0,,0.04913977137671087,0.0,1.0
18,a2,~~,a2,0.8049493992558321,0.8043441275203626,0.11626058140175195,6.9236656960050125,4.4011461142190456e-12
19,c1,~~,c1,0.6943431819198262,0.6935152095344388,0.10388629252185339,6.683684296146014,2.3300916751622935e-11
20,c2,~~,c2,0.16195362113407727,0.16141641999573186,0.08108716224025081,1.9972781961740413,0.045794970577446525
21,c3,~~,c3,0.45265554186126294,0.45171296709701597,0.08304755263482479,5.450558475169295,5.0211889091045236e-08
22,e1,~~,e1,0.9997636461127617,1.0000000000000002,0.14772614918183885,6.767682307046171,1.308619879125672e-11
23,e2,~~,e2,0.8351077976475171,0.8345892064667617,0.11974922287641204,6.973805571184554,3.08486569622346e-12
24,n1,~~,n1,1.0003768755927889,1.0,0.1436651732297876,6.963252492556122,3.325117958752344e-12
25,y1,~~,y1,0.10491734762905382,0.10492393708052669,0.13607166856737005,0.7710447643723678,0.44068039874703424
26,y2,~~,y2,0.04267219474977278,0.04266934557280338,0.14483416630622617,0.294627958566457,0.7682781018794556
27,y3,~~,y3,0.005832586554325235,0.005829952206041663,0.02345466385142369,0.24867491561694346,0.8036122538516148
28,y4,~~,y4,0.0,0.0,0.02357810700136407,0.0,1.0
