ID,視聴した講義数,視聴時間,確認テスト完了数,確認テストマスター数,平均初回正答率,開放性,勤勉性,外向性,協調性,否定的情動性
TKYHS001,0,940,6,1,0.30,3.75,2.08,3,2.92,3
TKYHS003,9,13049,15,12,0.61,2.83,3.25,3.08,4.08,1.17
TKYHS004,8,12041,16,11,0.81,3.17,2.83,4,4.25,2.42
TKYHS005,3,8205,26,24,0.75,3.42,3.92,4.25,4.25,3.42
TKYHS006,4,8089,11,5,0.68,3.67,3.42,1.33,3.67,4.58
TKYHS008,2,4065,11,4,0.54,3.92,2.5,2.67,4.17,1.33
TKYHS010,2,2162,10,7,0.62,4,1.33,1.67,2.58,4
TKYHS011,0,948,5,0,0.28,4,2.75,4.92,3.25,2.42
TKYHS012,4,3974,5,2,0.56,3.42,2.25,2.25,3.5,3.25
TKYHS013,0,1892,14,9,0.49,3.17,2.83,2.92,3.33,2.42
TKYHS014,1,554,7,3,0.28,2.67,2.67,2.83,4.08,3.58
TKYHS015,1,2924,32,30,0.72,3.42,3.42,2.33,3.08,3.67
TKYHS016,11,16627,17,13,0.32,4.42,3.75,4.33,3.25,3.33
TKYHS017,1,2783,23,19,0.53,3.83,2.67,3.5,3.5,5
TKYHS018,1,4276,14,7,0.64,3.08,2.58,2.83,2.5,2.33
TKYHS020,0,3492,21,21,0.59,3.67,2.92,2.08,2.33,2.17
TKYHS022,7,13570,26,22,0.53,3.75,1.5,2.25,3.08,4.67
TKYHS023,0,1897,7,1,0.36,3.83,2.58,3.67,3.17,2.08
TKYHS024,12,14096,16,12,0.75,2.83,2.33,2.83,3.08,3.83
TKYHS025,6,11154,24,23,0.52,2.42,3.08,2.58,2.75,2.92
TKYHS026,17,20774,16,10,0.45,2.5,1.42,3.17,3.83,3.33
TKYHS028,4,7719,18,14,0.56,4,1.5,4.67,2.25,2.75
TKYHS029,4,6914,0,0,0.00,3.5,1.67,1.33,2.17,2.25
TKYHS030,0,0,16,8,0.24,3.42,2.92,3.75,3.67,2.83
TKYHS031,12,15670,25,20,0.53,2.92,2.92,3.25,3.08,3.33
TKYHS032,1,5739,6,3,0.73,3.08,2.92,2.83,3.58,2.83
TKYHS033,16,28175,24,20,0.64,3.33,3.42,4.08,3.75,3.5
TKYHS034,0,693,11,9,0.27,3,1.75,3.92,3.42,3.25
TKYHS035,0,1074,32,26,0.36,3,3,3,3,3
TKYHS036,2,2725,14,7,0.39,4,3.08,4.25,4.08,3.58
TKYHS037,4,9237,17,13,0.42,3.08,1.83,2.75,2.58,4.33
TKYHS038,8,13390,23,18,0.67,3.17,2.42,2.58,2.25,4.42
TKYHS039,6,9178,16,12,0.47,3,2.33,4.5,2.17,3.17
TKYHS040,2,8328,21,16,0.55,2.17,3.5,3.25,2.83,2.92
