date,gbp_post,reservation
2023/01/01,0,0
2023/01/02,0,0
2023/01/03,0,1
2023/01/04,0,1
2023/01/05,0,0
2023/01/06,0,4
2023/01/07,1,2
2023/01/08,2,3
2023/01/09,0,0
2023/01/10,1,1
2023/01/11,0,0
2023/01/12,1,0
2023/01/13,3,0
2023/01/14,1,1
2023/01/15,0,0
2023/01/16,0,2
2023/01/17,2,1
2023/01/18,3,1
2023/01/19,0,0
2023/01/20,2,0
2023/01/21,1,2
2023/01/22,1,2
2023/01/23,7,1
2023/01/24,5,0
2023/01/25,7,0
2023/01/26,6,1
2023/01/27,8,0
2023/01/28,1,0
2023/01/29,3,0
2023/01/30,4,2
2023/01/31,4,0
2023/02/01,6,1
2023/02/02,4,2
2023/02/03,4,1
2023/02/04,4,1
2023/02/05,7,1
2023/02/06,8,1
2023/02/07,5,0
2023/02/08,6,0
2023/02/09,11,1
2023/02/10,6,2
2023/02/11,4,1
2023/02/12,10,1
2023/02/13,4,0
2023/02/14,9,0
2023/02/15,8,2
2023/02/16,13,1
2023/02/17,7,0
2023/02/18,12,0
2023/02/19,11,2
2023/02/20,18,0
2023/02/21,11,0
2023/02/22,16,0
2023/02/23,21,2
2023/02/24,30,4
2023/02/25,10,0
2023/02/26,19,2
2023/02/27,12,0
2023/02/28,19,4
2023/03/01,28,2
2023/03/02,21,3
2023/03/03,19,2
2023/03/04,23,2
2023/03/05,20,2
2023/03/06,12,1
2023/03/07,20,1
2023/03/08,17,1
2023/03/09,33,3
2023/03/10,15,2
2023/03/11,18,1
2023/03/12,16,0
2023/03/13,18,1
2023/03/14,14,2
2023/03/15,12,3
2023/03/16,16,0
2023/03/17,10,0
2023/03/18,18,0
2023/03/19,15,1
2023/03/20,12,0
2023/03/21,10,2
2023/03/22,14,1
2023/03/23,18,4
2023/03/24,8,3
2023/03/25,16,2
2023/03/26,12,0
2023/03/27,16,3
2023/03/28,6,0
2023/03/29,8,1
2023/03/30,10,0
2023/03/31,14,0
2023/04/01,19,2
2023/04/02,8,6
2023/04/03,17,2
2023/04/04,17,1
2023/04/05,23,1
2023/04/06,20,1
2023/04/07,19,0
2023/04/08,14,3
2023/04/09,12,1
2023/04/10,15,2
2023/04/11,9,1
2023/04/12,8,0
2023/04/13,23,3
2023/04/14,14,0
2023/04/15,23,3
2023/04/16,12,0
2023/04/17,29,2
2023/04/18,17,2
2023/04/19,24,3
2023/04/20,7,1
2023/04/21,13,0
2023/04/22,18,1
2023/04/23,25,0
2023/04/24,14,5
2023/04/25,14,1
2023/04/26,13,1
2023/04/27,17,3
2023/04/28,12,1
2023/04/29,20,1
2023/04/30,23,2
2023/05/01,14,2
2023/05/02,15,1
2023/05/03,1,2
2023/05/04,1,1
2023/05/05,0,1
2023/05/06,13,3
2023/05/07,13,4
2023/05/08,19,3
2023/05/09,8,3
2023/05/10,13,3
2023/05/11,19,0
2023/05/12,16,1
2023/05/13,31,3
2023/05/14,23,2
2023/05/15,27,3
2023/05/16,25,0
2023/05/17,21,2
2023/05/18,28,0
2023/05/19,18,0
2023/05/20,18,2
2023/05/21,25,1
2023/05/22,21,3
2023/05/23,19,2
2023/05/24,15,3
2023/05/25,20,5
2023/05/26,17,3
2023/05/27,19,3
2023/05/28,6,1
2023/05/29,10,3
2023/05/30,14,2
2023/05/31,14,3
2023/06/01,11,6
2023/06/02,10,1
2023/06/03,12,5
2023/06/04,7,2
2023/06/05,7,4
2023/06/06,16,2
2023/06/07,13,3
2023/06/08,6,0
2023/06/09,12,1
2023/06/10,7,1
2023/06/11,10,4
2023/06/12,8,4
2023/06/13,13,5
2023/06/14,5,2
2023/06/15,12,2
2023/06/16,6,2
2023/06/17,6,2
2023/06/18,18,2
2023/06/19,7,4
2023/06/20,9,2
2023/06/21,8,2
2023/06/22,6,0
2023/06/23,8,1
2023/06/24,7,2
2023/06/25,10,3
2023/06/26,10,1
2023/06/27,5,5
2023/06/28,7,1
2023/06/29,8,4
2023/06/30,7,3
2023/07/01,3,5
2023/07/02,4,6
2023/07/03,6,3
2023/07/04,9,2
2023/07/05,3,3
2023/07/06,4,0
2023/07/07,7,2
2023/07/08,8,4
2023/07/09,9,3
2023/07/10,5,2
2023/07/11,4,4
2023/07/12,6,3
2023/07/13,3,0
2023/07/14,2,1
2023/07/15,5,3
2023/07/16,4,6
2023/07/17,4,0
2023/07/18,4,1
2023/07/19,4,4
2023/07/20,1,1
2023/07/21,3,3
2023/07/22,3,0
2023/07/23,5,1
2023/07/24,4,4
2023/07/25,5,3
2023/07/26,4,1
2023/07/27,5,0
2023/07/28,6,1
2023/07/29,7,3
2023/07/30,3,0
2023/07/31,4,3
2023/08/01,3,0
2023/08/02,4,2
2023/08/03,7,0
2023/08/04,7,1
2023/08/05,4,0
2023/08/06,1,0
2023/08/07,8,2
2023/08/08,3,1
2023/08/09,3,0
2023/08/10,3,0
2023/08/11,5,3
2023/08/12,2,0
2023/08/13,1,3
2023/08/14,0,3
2023/08/15,1,2
2023/08/16,0,2
2023/08/17,1,0
2023/08/18,2,4
2023/08/19,6,0
2023/08/20,0,2
2023/08/21,2,1
2023/08/22,0,2
2023/08/23,3,2
2023/08/24,2,1
2023/08/25,3,1
2023/08/26,5,5
2023/08/27,5,2
2023/08/28,2,2
2023/08/29,1,2
2023/08/30,1,1
2023/08/31,1,3
2023/09/01,2,1
2023/09/02,2,1
2023/09/03,5,2
2023/09/04,1,2
2023/09/05,3,3
2023/09/06,0,4
2023/09/07,3,1
2023/09/08,0,1
2023/09/09,4,0
2023/09/10,5,1
2023/09/11,2,2
2023/09/12,3,0
2023/09/13,1,0
2023/09/14,1,0
2023/09/15,6,3
2023/09/16,4,3
2023/09/17,1,0
2023/09/18,1,2
2023/09/19,8,0
2023/09/20,2,0
2023/09/21,0,0
2023/09/22,1,2
2023/09/23,5,0
2023/09/24,1,2
2023/09/25,0,4
2023/09/26,4,2
2023/09/27,3,1
2023/09/28,2,1
2023/09/29,1,2
2023/09/30,1,2
2023/10/01,2,0
2023/10/02,1,1
2023/10/03,1,0
2023/10/04,4,2
2023/10/05,2,2
2023/10/06,2,1
2023/10/07,4,2
2023/10/08,2,0
2023/10/09,3,0
2023/10/10,1,0
2023/10/11,0,2
2023/10/12,2,0
2023/10/13,3,2
2023/10/14,2,4
2023/10/15,4,1
2023/10/16,1,2
2023/10/17,2,4
2023/10/18,1,0
2023/10/19,4,1
2023/10/20,2,1
2023/10/21,1,2
2023/10/22,1,2
2023/10/23,2,0
2023/10/24,1,1
2023/10/25,1,1
2023/10/26,2,1
2023/10/27,2,1
2023/10/28,3,1
2023/10/29,1,0
2023/10/30,0,0
2023/10/31,4,1
2023/11/01,5,1
2023/11/02,3,1
2023/11/03,2,1
2023/11/04,0,0
2023/11/05,1,0
2023/11/06,2,4
2023/11/07,1,0
2023/11/08,1,3
2023/11/09,2,0
2023/11/10,2,3
2023/11/11,1,2
2023/11/12,2,0
2023/11/13,2,0
2023/11/14,0,4
2023/11/15,2,2
2023/11/16,2,0
2023/11/17,1,1
2023/11/18,1,0
2023/11/19,0,2
2023/11/20,2,1
2023/11/21,0,0
2023/11/22,0,2
2023/11/23,4,1
2023/11/24,2,3
2023/11/25,0,0
2023/11/26,1,0
2023/11/27,1,3
2023/11/28,1,1
2023/11/29,0,2
2023/11/30,0,2
2023/12/01,2,1
2023/12/02,3,1
2023/12/03,1,3
2023/12/04,0,1
2023/12/05,0,1
2023/12/06,0,3
2023/12/07,2,2
2023/12/08,0,0
2023/12/09,0,2
2023/12/10,1,0
2023/12/11,1,1
2023/12/12,2,1
2023/12/13,0,1
2023/12/14,2,0
2023/12/15,1,1
2023/12/16,4,1
2023/12/17,1,2
2023/12/18,1,0
2023/12/19,0,0
2023/12/20,0,0
2023/12/21,0,0
2023/12/22,1,0
2023/12/23,0,1
2023/12/24,1,1
2023/12/25,2,1
2023/12/26,0,1
2023/12/27,0,0
2023/12/28,1,0
2023/12/29,1,4
2023/12/30,0,0
2023/12/31,0,0
