ID,視聴した講義数,視聴時間,確認テスト完了数,確認テストマスター数,平均初回正答率,開放性,勤勉性,外向性,協調性,否定的情動性
TKYHS001,0,1423,0,0,0.00,3.75,2.08,3,2.92,3
TKYHS003,2,973,4,3,0.35,2.83,3.25,3.08,4.08,1.17
TKYHS004,6,9935,13,13,0.78,3.17,2.83,4,4.25,2.42
TKYHS005,9,29214,36,35,0.60,3.42,3.92,4.25,4.25,3.42
TKYHS006,2,3406,1,1,1.00,3.67,3.42,1.33,3.67,4.58
TKYHS008,4,1870,0,0,0.00,3.92,2.5,2.67,4.17,1.33
TKYHS010,1,1949,1,1,0.60,4,1.33,1.67,2.58,4
TKYHS011,1,9051,2,0,0.73,4,2.75,4.92,3.25,2.42
TKYHS012,12,23434,23,18,0.67,3.42,2.25,2.25,3.5,3.25
TKYHS013,0,0,5,5,0.36,3.17,2.83,2.92,3.33,2.42
TKYHS014,0,0,0,0,0.00,2.67,2.67,2.83,4.08,3.58
TKYHS015,1,10575,112,112,0.77,3.42,3.42,2.33,3.08,3.67
TKYHS016,7,2284,4,4,0.33,4.42,3.75,4.33,3.25,3.33
TKYHS017,0,9812,46,46,0.43,3.83,2.67,3.5,3.5,5
TKYHS018,0,2781,8,7,0.72,3.08,2.58,2.83,2.5,2.33
TKYHS020,0,3001,51,51,0.65,3.67,2.92,2.08,2.33,2.17
TKYHS022,2,7586,27,24,0.57,3.75,1.5,2.25,3.08,4.67
TKYHS023,1,1450,0,0,0.00,3.83,2.58,3.67,3.17,2.08
TKYHS024,6,1690,6,6,0.77,2.83,2.33,2.83,3.08,3.83
TKYHS025,0,6349,36,30,0.57,2.42,3.08,2.58,2.75,2.92
TKYHS026,18,21097,17,6,0.68,2.5,1.42,3.17,3.83,3.33
TKYHS028,1,18248,30,29,0.66,4,1.5,4.67,2.25,2.75
TKYHS029,0,0,0,0,0.00,3.5,1.67,1.33,2.17,2.25
TKYHS030,0,26,6,3,0.33,3.42,2.92,3.75,3.67,2.83
TKYHS031,3,4419,26,24,0.47,2.92,2.92,3.25,3.08,3.33
TKYHS032,1,2371,2,0,0.58,3.08,2.92,2.83,3.58,2.83
TKYHS033,22,33059,50,50,0.47,3.33,3.42,4.08,3.75,3.5
TKYHS034,1,2280,7,7,0.14,3,1.75,3.92,3.42,3.25
TKYHS035,0,1442,37,34,0.37,3,3,3,3,3
TKYHS036,0,1650,16,4,0.36,4,3.08,4.25,4.08,3.58
