id,status,plan,scale,login_status,inbound,taishu_tenpyo,cnt_brand,cnt_cp,cp_brand,cnt_store,avg_store_info,media_library,cnt_category,bt_resto,bt_retail,bt_hotel,bt_salon,bt_activity,bt_other,rev,rev_posi,rev_nega,rev_mix,rev_none,rev_avg_comment,rev_avg_rate,rev_avg_uuser,lang_ja,lang_en,lang_ko,lang_ch_han,lang_ch_kan,lang_thai,lang_other,st_google,st_trip_advisor,st_tabelog,st_retty,st_hot_pepper_gourmet,st_gnavi,st_hot_pepper_beauty,st_yahoo_loco,st_asoview,st_demaecan,st_ikyu,st_ozmall,st_tribeau,st_clinic,q_pos,q_neg,q_neu,s_pos,s_neg,s_neu,c_pos,c_neg,c_neu,a_pos,a_neg,a_neu,un_pos,un_neg,un_neu,photo,rep,rep_posi,rep_nega,rep_mix,rep_none,rep_avg_comment,rep_avg_rate,rep_avg_uuser,weekly,monthly,wday_index,now,scheduled,tw,fb,in,web,call,direction,pv_search_pc,pv_map_pc,pv_search_sp,pv_map_sp,chat,booking,orders,search,search_per_keyword,cnt_keywords,post_total,post_sns,reaction,pv_total
37986,tech_touch,growth,small,30日以内,1,1,1,0,0,1,658,1,1,1,0,0,0,0,0,34,22,1,1,8,206,5,7,22,3,2,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,21,13,1,1,5,213,5,7,0,0,0,0,0,0,0,0,848,133,819,935,3511,3216,7818,0,1,0,867,7122,5880,0,0,1800,15480
16699,tech_touch,small,small,1日以内,0,0,1,0,0,1,191,1,1,1,0,0,0,0,0,29,19,0,0,7,127,5,2,0,0,0,0,0,0,0,19,0,9,1,0,0,0,0,0,0,0,0,0,0,54,0,2,4,1,0,1,0,0,6,0,0,32,2,16,80,12,8,0,0,4,69,5,2,0,0,0,0,0,0,0,0,931,180,1522,8527,1262,22570,15722,0,18,0,9015,50240,128931,0,0,2633,48081
28744,low_touch,growth,medium,1日以内,0,0,13,0,0,26,182,16,8,13,0,0,0,0,0,4117,2092,258,312,1217,103,4,4,38,6,0,1,3,0,0,2011,13,1354,76,564,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9868,2371,912,111,199,1027,75,4,4,26,0,0,55,3,12,144,141,158630,32123,187406,1248079,319604,7743500,10122819,20,2357,0,257001,458016,1749429,84,297,378159,19434002
23070,tech_touch,small,small,7日以内,0,0,1,0,0,1,41,2,1,1,0,0,0,0,0,68,44,7,2,11,237,4,3,0,0,0,0,0,0,0,48,0,16,2,0,0,0,2,0,0,0,0,0,0,147,20,9,5,5,0,4,0,0,13,0,0,108,23,20,263,58,41,6,6,3,134,4,3,0,0,0,16,4,0,0,16,5971,1109,4065,7294,1839,68202,38412,17,0,0,130030,384617,1057256,20,16,11145,115747
24784,low_touch,enterprise,large,1日以内,0,0,1,68,21,68,159,4,1,0,1,0,0,0,0,1993,527,208,106,1027,33,4,2,0,0,0,0,0,0,0,1887,0,0,0,0,0,0,106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1749,3948,2207,725,383,125,53,4,2,46,5,0,22,24,0,0,11,429606,283404,712854,1254856,292673,7966579,4789695,0,0,0,249762,564116,1778517,97,11,1425864,14303803
15346,low_touch,enterprise,large,1日以内,1,0,8,23,4,64,503,43,8,8,0,0,0,0,0,18537,10741,932,1149,5050,128,4,11,5247,3309,3828,526,209,58,369,16610,158,1203,56,245,1,0,227,0,37,0,0,0,0,9752,2176,534,3356,1447,27,52,90,0,732,174,22,7689,2222,2543,26609,1119,654,182,169,15,134,4,2,0,0,0,22,2,0,0,0,319404,62870,465743,2112252,739959,15134574,12976864,3,3803,0,153492,134900,471551,24,0,848017,30963649
18646,low_touch,growth,large,1日以内,0,0,17,0,0,56,401,206,10,17,0,0,0,0,0,4528,2131,349,400,1444,72,4,2,0,0,0,0,0,0,0,2328,0,684,0,816,0,0,319,0,381,0,0,0,0,3137,825,165,698,558,9,21,28,0,224,30,5,3056,900,873,11526,3945,1411,388,418,1550,63,4,3,86,6,5,28,107,0,1,1,203035,83738,209878,734301,186790,7239140,6712276,15,367,0,159020,692439,1333133,232,2,496651,14872507
13234,tech_touch,growth,small,1日以内,0,0,1,0,0,1,158,5,1,1,0,0,0,0,0,78,51,2,1,22,45,5,4,0,0,0,0,0,0,0,73,0,4,0,0,0,0,1,0,0,0,0,0,0,57,3,2,6,0,0,0,0,0,9,0,0,65,2,4,233,105,73,1,1,27,47,4,4,0,0,0,1,0,0,0,0,12601,2977,5239,20902,5979,255232,190878,0,0,0,44913,246927,166716,1,0,20817,472991
15676,tech_touch,small,small,60日以内,0,0,2,0,0,3,498,8,1,0,0,0,0,0,2,6,1,1,0,4,37,4,1,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,5,1,0,1,0,0,116,1,1,0,0,0,5,0,0,0,0,1176,162,5001,2693,1626,25857,26046,0,0,0,83681,405314,452106,5,0,6339,56222
2,high_touch,growth,larger,3日以内,1,0,1,0,0,132,80,10,1,0,1,0,0,0,0,10576,3142,683,399,5387,35,4,5,4381,334,200,226,27,3,48,8739,0,0,0,0,0,0,1837,0,0,0,0,0,0,284,113,25,357,442,7,17,12,0,84,9,1,5519,1135,2980,13893,0,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,952978,697536,4078744,6922501,1824255,49467139,37717383,15,0,0,193538,619588,1676107,24,0,5729258,95931278
24916,low_touch,growth,medium,1日以内,0,0,2,0,0,21,163,173,3,0,2,0,0,0,0,1108,274,430,114,222,107,3,5,0,0,0,0,0,0,0,1065,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1627,1657,325,630,187,395,112,3,5,0,0,10,17,19,0,0,0,146705,113104,496955,258511,89672,2596073,1419152,11,0,0,35068,135497,570898,46,0,756764,4363408
14587,tech_touch,growth,small,61日以上,0,0,1,0,0,1,696,1,1,1,0,0,0,0,0,87,42,5,10,22,99,4,3,0,0,0,0,0,0,0,45,0,38,2,0,0,0,2,0,0,0,0,0,0,73,8,2,0,8,0,1,0,0,4,0,0,158,22,36,516,79,57,6,9,0,94,4,3,0,0,0,81,0,0,0,0,4103,821,5873,31863,6910,170922,253052,6,0,0,116213,376758,1198684,81,0,10797,462747
37523,tech_touch,enterprise,small,7日以内,1,0,1,1,1,1,124,1,1,0,0,0,0,0,1,1930,456,113,51,1105,85,4,73,748,40,5,23,4,0,6,1761,8,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1643,5,3,1,0,0,67,4,5,0,0,0,14,3,0,0,0,192923,13934,228460,624702,96212,2679215,785267,0,0,0,27630,78424,254660,17,0,435317,4185396
25609,high_touch,growth,medium,1日以内,0,0,9,0,0,13,199,23,1,9,0,0,0,0,0,1017,550,74,117,205,124,4,3,68,6,7,2,2,0,0,396,2,499,24,73,0,0,16,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6139,259,119,29,22,76,114,4,2,55,0,124,2,118,0,0,0,48928,16869,58191,440672,79617,1931397,1515644,53,1267,0,34526,192315,397645,299,0,123988,3967330
24751,low_touch,growth,medium,1日以内,1,1,3,47,7,49,374,121,5,3,0,0,0,0,0,6625,2338,866,826,1967,123,4,5,4258,238,104,114,17,13,35,4111,13,2078,116,0,8,0,299,0,0,0,0,0,0,14232,4259,1377,1687,2404,100,72,117,2,485,160,53,13756,5279,8945,21448,3325,1084,447,399,1195,71,4,3,0,0,0,49,141,0,0,0,204797,42745,399498,1495064,438756,11697422,12575258,0,1,0,327997,1333944,2453863,190,0,647040,26206500
23399,tech_touch,growth,small,1日以内,1,0,2,0,0,4,409,2,2,0,0,0,0,0,2,91,64,6,2,17,150,4,4,26,29,7,8,0,0,4,91,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,50,2,1,0,0,0,1,0,0,109,22,0,28,835,693,10,16,110,77,5,8,1,0,2,114,7,0,19,19,9533,2340,6792,15790,3669,129443,40269,8,0,0,37871,154815,509228,124,38,18665,189171
