date,日経平均株価
2005/4/1,11008.9
2005/5/1,11276.59
2005/6/1,11584.01
2005/7/1,11899.6
2005/8/1,12413.6
2005/9/1,13574.3
2005/10/1,13606.5
2005/11/1,14872.15
2005/12/1,16111.43
2006/1/1,16649.82
2006/2/1,16205.43
2006/3/1,17059.66
2006/4/1,16906.23
2006/5/1,15467.33
2006/6/1,15505.18
2006/7/1,15456.81
2006/8/1,16140.76
2006/9/1,16127.58
2006/10/1,16399.39
2006/11/1,16274.33
2006/12/1,17225.83
2007/1/1,17383.42
2007/2/1,17604.12
2007/3/1,17287.65
2007/4/1,17400.41
2007/5/1,17875.75
2007/6/1,18138.36
2007/7/1,17248.89
2007/8/1,16569.09
2007/9/1,16785.69
2007/10/1,16737.63
2007/11/1,15680.67
2007/12/1,15307.78
2008/1/1,13592.47
2008/2/1,13603.02
2008/3/1,12525.54
2008/4/1,13849.99
2008/5/1,14338.54
2008/6/1,13481.38
2008/7/1,13376.81
2008/8/1,13072.87
2008/9/1,11259.86
2008/10/1,8576.98
2008/11/1,8512.27
2008/12/1,8859.56
2009/1/1,7994.05
2009/2/1,7568.42
2009/3/1,8109.53
2009/4/1,8828.26
2009/5/1,9522.5
2009/6/1,9958.44
2009/7/1,10356.83
2009/8/1,10492.53
2009/9/1,10133.23
2009/10/1,10034.74
2009/11/1,9345.55
2009/12/1,10546.44
2010/1/1,10198.04
2010/2/1,10126.03
2010/3/1,11089.94
2010/4/1,11057.4
2010/5/1,9768.7
2010/6/1,9382.64
2010/7/1,9537.3
2010/8/1,8824.06
2010/9/1,9369.35
2010/10/1,9202.45
2010/11/1,9937.04
2010/12/1,10228.92
2011/1/1,10237.92
2011/2/1,10624.09
2011/3/1,9755.1
2011/4/1,9849.74
2011/5/1,9693.73
2011/6/1,9816.09
2011/7/1,9833.03
2011/8/1,8955.2
2011/9/1,8700.29
2011/10/1,8988.39
2011/11/1,8434.61
2011/12/1,8455.35
2012/1/1,8802.51
2012/2/1,9723.24
2012/3/1,10083.56
2012/4/1,9520.89
2012/5/1,8542.73
2012/6/1,9006.78
2012/7/1,8695.06
2012/8/1,8839.91
2012/9/1,8870.16
2012/10/1,8928.29
2012/11/1,9446.01
2012/12/1,10395.18
2013/1/1,11138.66
2013/2/1,11559.36
2013/3/1,12397.91
2013/4/1,13860.86
2013/5/1,13774.54
2013/6/1,13677.32
2013/7/1,13668.32
2013/8/1,13388.86
2013/9/1,14455.8
2013/10/1,14327.94
2013/11/1,15661.87
2013/12/1,16291.31
2014/1/1,14914.53
2014/2/1,14841.07
2014/3/1,14827.83
2014/4/1,14304.11
2014/5/1,14632.38
2014/6/1,15162.1
2014/7/1,15620.77
2014/8/1,15424.59
2014/9/1,16173.52
2014/10/1,16413.76
2014/11/1,17459.85
2014/12/1,17450.77
2015/1/1,17674.39
2015/2/1,18797.94
2015/3/1,19206.99
2015/4/1,19520.01
2015/5/1,20563.15
2015/6/1,20235.73
2015/7/1,20585.24
2015/8/1,18890.48
2015/9/1,17388.15
2015/10/1,19083.1
2015/11/1,19747.47
2015/12/1,19033.71
2016/1/1,17518.3
2016/2/1,16026.76
2016/3/1,16758.67
2016/4/1,16666.05
2016/5/1,17234.98
2016/6/1,15575.92
2016/7/1,16569.27
2016/8/1,16887.4
2016/9/1,16449.84
2016/10/1,17425.02
2016/11/1,18308.48
2016/12/1,19114.37
2017/1/1,19041.34
2017/2/1,19118.99
2017/3/1,18909.26
2017/4/1,19196.74
2017/5/1,19650.57
2017/6/1,20033.43
2017/7/1,19925.18
2017/8/1,19646.24
2017/9/1,20356.28
2017/10/1,22011.61
2017/11/1,22724.96
2017/12/1,22764.94
2018/1/1,23098.29
2018/2/1,22068.24
2018/3/1,21454.3
2018/4/1,22467.87
2018/5/1,22201.82
2018/6/1,22304.51
2018/7/1,22553.72
2018/8/1,22865.15
2018/9/1,24120.04
2018/10/1,21920.46
2018/11/1,22351.06
2018/12/1,20014.77
2019/1/1,20773.49
2019/2/1,21385.16
2019/3/1,21205.81
2019/4/1,22258.73
2019/5/1,20601.19
2019/6/1,21275.92
2019/7/1,21521.53
2019/8/1,20704.37
2019/9/1,21755.84
2019/10/1,22927.04
2019/11/1,23293.91
2019/12/1,23656.62
2020/1/1,23205.18
2020/2/1,21142.96
2020/3/1,18917.01
2020/4/1,20193.69
2020/5/1,21877.89
2020/6/1,22288.14
2020/7/1,21710
2020/8/1,23139.76
2020/9/1,23185.12
2020/10/1,22977.13
2020/11/1,26433.62
2020/12/1,27444.17
2021/1/1,27663.39
2021/2/1,28966.01
2021/3/1,29178.8
2021/4/1,28812.63
2021/5/1,28860.08
2021/6/1,28791.53
2021/7/1,27283.59
2021/8/1,28089.54
2021/9/1,29452.66
2021/10/1,28892.69
2021/11/1,27821.76
2021/12/1,28791.71
2022/1/1,27001.98
2022/2/1,26526.82
2022/3/1,27821.43
2022/4/1,26847.9
2022/5/1,27279.8
2022/6/1,26393.04
2022/7/1,27801.64
2022/8/1,28091.53
2022/9/1,25937.21
2022/10/1,27587.46
2022/11/1,27968.99
2022/12/1,26094.5
2023/1/1,27327.11
2023/2/1,27445.56
2023/3/1,28041.48
2023/4/1,28856.44
2023/5/1,30887.88
2023/6/1,33189.04
2023/7/1,33172.22
2023/8/1,32619.34
