,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,f1,~,f3,0.46535128583990387,0.29350533400319034,0.1810642192076551,2.570089705595789,0.010167218359360186
1,f2,~,f3,0.34095236020528086,0.38293479274424375,0.1784785465391695,1.910326853365225,0.05609114234144141
2,y3,~,f1,1.0,0.9703336502301124,-,-,-
3,y4,~,f1,1.030585522774906,1.0,0.09404888772883538,10.957976725204485,0.0
4,y5,~,f2,1.0,0.544827598929319,-,-,-
5,c1,~,f3,1.0,0.6120216235186113,-,-,-
6,c2,~,f3,1.2966221344225128,0.7935323184335729,0.22001843435066867,5.89324316502518,3.786885027778908e-09
7,c3,~,f3,1.3986598530168077,0.8560075056681361,0.23641169261145822,5.916204217993498,3.2945610684009807e-09
8,e2,~,f3,0.6211059879850304,0.38014153104188053,0.18535621226084403,3.350877644756913,0.0008055588695530247
9,f1,~~,f1,0.8604559257352623,0.9138546189116757,0.14621629669005057,5.884815476850523,3.984983454330404e-09
10,f2,~~,f2,0.25339158551138136,0.8533609445059233,0.06723691620006582,3.7686378232106463,0.0001641408467154548
11,f3,~~,f3,0.37456024340758165,1.0,0.11844674348706526,3.1622671284780615,0.0015654588784066448
12,c1,~~,c1,0.6254124606690659,0.6254295323456431,0.09901084394081942,6.316605694590075,2.6737057012837795e-10
13,c2,~~,c2,0.37032291855222554,0.3703064596014388,0.08677434871504142,4.267654255338321,1.9753917195775017e-05
14,c3,~~,c3,0.26724545902763025,0.2672511502398157,0.08830788134828084,3.026292273626227,0.002475728661252452
15,e2,~~,e2,0.8554184952235888,0.855492416377135,0.12315858718722862,6.945666678655671,3.766764677948231e-12
16,y3,~~,y3,0.058453863454312534,0.058452607231105805,0.08315740950147296,0.7029303077625838,0.4820991823911309
17,y4,~~,y4,3.9480276419858537e-17,3.947849529479996e-17,0.08789730768439183,4.49163659951555e-16,0.9999999999999996
18,y5,~~,y5,0.7033915855114061,0.7031628874449132,0.06723691620006582,10.461389743217524,0.0
