,lval,op,rval,Estimate,Est. Std,Std. Err,z-value,p-value
0,f1,~,f3,0.47745590114143666,0.3080983380002872,0.17456831644065654,2.735066195709173,0.0062367732513493035
1,f2,~,f4,0.2910389629276131,0.2820232521371628,0.15900909004228753,1.8303290890375052,0.06720074414030464
2,y3,~,f1,1.0,0.9837770173453452,-,-,-
3,y4,~,f1,1.0164817082939503,1.0,0.06491822204845157,15.657879655416988,0.0
4,y1,~,f2,1.0,0.9537852267894998,-,-,-
5,y2,~,f2,0.9155769623920481,0.8732658694564149,0.22081571751908452,4.146339638657157,3.378325927827497e-05
6,c1,~,f3,1.0,0.6348205745759123,-,-,-
7,c2,~,f3,1.3189751859430436,0.8373779233522809,0.21553797840547445,6.119456049901522,9.389531374637272e-10
8,c3,~,f3,1.2609021036016386,0.8005214681390223,0.20703234790981395,6.090362768550613,1.1265510746483187e-09
9,a2,~,f4,1.0,0.9242445465117038,-,-,-
10,a3,~,f4,0.4042738383703418,0.37364515886496963,0.19285772989588523,2.096228336745921,0.03606194037665822
11,f1,~~,f1,0.8760503063846671,0.9050754141214608,0.13724949446703077,6.3829037023427695,1.7376122762868818e-10
12,f2,~~,f2,0.8372951638234809,0.9204628852539782,0.2435248738870106,3.438232614416737,0.0005855244801236115
13,f3,~~,f3,0.4030477105184188,1.0,0.12214992830530441,3.299614793941853,0.00096817621655787
14,f3,~~,f4,0.2647966979359985,0.45129903315748493,0.08082281949294191,3.27626157555474,0.0010519108687947476
15,f4,~~,f4,0.8541612502519847,1.0000000000000002,0.3792715300202422,2.2521101180574905,0.024315314060366244
16,a2,~~,a2,0.14576063066731826,0.14577201824337477,0.35391742686196176,0.4118492608835489,0.6804499124911723
17,a3,~~,a3,0.8603346613120963,0.8603892952567715,0.1338062793733797,6.42970318982524,1.2785328351583303e-10
18,c1,~~,c1,0.5970777211677208,0.5970028380951083,0.09665913362749529,6.177147453675306,6.527010043555492e-10
19,c2,~~,c2,0.2987890596506202,0.2987982134822215,0.0866215811438955,3.449360490786048,0.0005619160004968204
20,c3,~~,c3,0.3591432412739309,0.35916537904854434,0.08610398086791946,4.171041079049216,3.0321119079301795e-05
21,y1,~~,y1,0.090287736614356,0.09029374115810238,0.21269243448087663,0.4244990511030582,0.6712018972023295
22,y2,~~,y2,0.23738979805443272,0.23740672124253173,0.1810317793440685,1.3113156094098761,0.18975115687868493
23,y3,~~,y3,0.032186554693776334,0.032182780143096675,0.05948989749353778,0.5410423626420204,0.5884783840294396
24,y4,~~,y4,0.0,0.0,0.061292109208605894,0.0,1.0
