Openness,Conscientiousness,Extraversion,Agreeableness,Neuroticism
3.75,2.08,3,2.92,3
2.83,3.25,3.08,4.08,1.17
3.17,2.83,4,4.25,2.42
3.42,3.92,4.25,4.25,3.42
3.67,3.42,1.33,3.67,4.58
3.92,2.5,2.67,4.17,1.33
4,1.33,1.67,2.58,4
4,2.75,4.92,3.25,2.42
3.42,2.25,2.25,3.5,3.25
3.17,2.83,2.92,3.33,2.42
2.67,2.67,2.83,4.08,3.58
3.42,3.42,2.33,3.08,3.67
4.42,3.75,4.33,3.25,3.33
3.83,2.67,3.5,3.5,5
3.08,2.58,2.83,2.5,2.33
3.67,2.92,2.08,2.33,2.17
3.75,1.5,2.25,3.08,4.67
3.83,2.58,3.67,3.17,2.08
2.83,2.33,2.83,3.08,3.83
2.42,3.08,2.58,2.75,2.92
2.5,1.42,3.17,3.83,3.33
4,1.5,4.67,2.25,2.75
3.5,1.67,1.33,2.17,2.25
3.42,2.92,3.75,3.67,2.83
2.92,2.92,3.25,3.08,3.33
3.08,2.92,2.83,3.58,2.83
3.33,3.42,4.08,3.75,3.5
3,1.75,3.92,3.42,3.25
3,3,3,3,3
4,3.08,4.25,4.08,3.58
3.08,1.83,2.75,2.58,4.33
3.17,2.42,2.58,2.25,4.42
3,2.33,4.5,2.17,3.17
2.17,3.5,3.25,2.83,2.92
3.5,4.5,4,3.58,3.58
4.58,2.08,3.42,2.83,2.58
5,3.75,3.25,4.33,2.5
2.92,1.67,4.17,3.08,2.58
2.5,3.5,2.17,3.25,1.67
2.92,2.92,2.58,3.25,3
2.92,2,1.5,4.08,3.33
4.33,2.42,3.17,3.58,3
3.75,1.75,4.08,3.58,2.17
3.08,2.25,2.83,3.17,2.5
3.5,3.08,3.33,3,2.92
2.58,2.33,2.83,2.42,4.33
3.08,2.5,2.92,3.17,2.83
2.42,3.17,4.5,3.25,1.5
4.08,2.75,3.08,3.25,4.83
3.58,2.42,4.17,3.75,3.5
3.92,1.83,2.92,4.33,4.67
3.17,2.17,3.58,3.5,3.58
4.58,4.5,4.42,4.42,2.33
3.33,2.67,2.33,3,2.83
2.92,2.17,4.42,3.17,4.08
3.5,3.92,3.33,4.5,1.67
2.92,3.25,4.58,2.92,3
3.75,2.67,3.75,2.08,4.5
3.25,2.33,3.42,4.25,3
3,2.83,2.33,4.17,3.25
1.83,1,2.58,2.25,3
4.17,2.25,4.42,4.25,2
3.33,2.17,4.83,3.92,4.17
4.08,2.67,2.5,3.42,3.58
3.17,3.08,2.08,2.92,4
3.17,2.92,3.83,1.92,3.08
3.17,1.17,3.67,3.25,2.08
2.58,2.83,3.92,3.25,2.08
3.92,2.5,2.17,3.33,2.42
4.08,2.75,2.33,3.42,4.17
4.5,3.17,4.25,3.25,3.92
3.58,3.17,2.17,2.5,4.5
3.92,3,4.25,4.17,2.33
3.83,3.42,3,4,2.58
3.67,2.58,2.75,3.25,3.83
3.5,2.17,1.83,4.25,2.33
4,3.58,2.67,3.92,2.92
4.33,3.42,3.42,3.83,1.17
3.33,3.33,1.92,3.83,3
4.25,3.75,3.42,4.17,1.83
4.75,1.83,2.25,2.33,4.5
2.75,3.67,4,3.75,3.75
3.08,3.67,4.08,3.33,2.42
3.33,3.42,3.42,3.33,4.33
4.08,3.25,4.17,3.25,2.08
2.83,3.5,2.25,3.67,4.58
3.83,2.5,3.58,4,2.58
3.17,3,2.17,3.25,4.33
4.42,3.42,3.42,2.75,3.08
2.58,2.83,2.42,3.92,2
3,2.92,3.17,3.42,3.08
3.92,3.5,3.25,2.75,2.42
4.17,3.08,3.92,2.58,1.58
3,2.92,3.25,3.42,2.17
2.83,3.83,3.08,3,1.58
4.25,3.58,4.08,3.17,2.92
2.83,2,2.33,2.08,3.83
4.08,2.75,3.5,3.5,3.25
3,3,3.08,3.17,3
3.83,2.58,2.92,4,3.17
3.5,2.58,3.25,2.92,2.83
3.83,3,2.92,4.17,2.5
3.83,3,4,3.5,3.08
3.75,2.08,3,2.92,3
2.83,3.25,3.08,4.08,1.17
3.17,2.83,4,4.25,2.42
3.42,3.92,4.25,4.25,3.42
3.67,3.42,1.33,3.67,4.58
3.92,2.5,2.67,4.17,1.33
4,1.33,1.67,2.58,4
4,2.75,4.92,3.25,2.42
3.42,2.25,2.25,3.5,3.25
3.17,2.83,2.92,3.33,2.42
2.67,2.67,2.83,4.08,3.58
3.42,3.42,2.33,3.08,3.67
4.42,3.75,4.33,3.25,3.33
3.83,2.67,3.5,3.5,5
3.08,2.58,2.83,2.5,2.33
3.67,2.92,2.08,2.33,2.17
3.75,1.5,2.25,3.08,4.67
3.83,2.58,3.67,3.17,2.08
2.83,2.33,2.83,3.08,3.83
2.42,3.08,2.58,2.75,2.92
2.5,1.42,3.17,3.83,3.33
4,1.5,4.67,2.25,2.75
3.5,1.67,1.33,2.17,2.25
3.42,2.92,3.75,3.67,2.83
2.92,2.92,3.25,3.08,3.33
3.08,2.92,2.83,3.58,2.83
3.33,3.42,4.08,3.75,3.5
3,1.75,3.92,3.42,3.25
3,3,3,3,3
4,3.08,4.25,4.08,3.58
3.08,1.83,2.75,2.58,4.33
3.17,2.42,2.58,2.25,4.42
3,2.33,4.5,2.17,3.17
2.17,3.5,3.25,2.83,2.92
3.5,4.5,4,3.58,3.58
4.58,2.08,3.42,2.83,2.58
5,3.75,3.25,4.33,2.5
2.92,1.67,4.17,3.08,2.58
2.5,3.5,2.17,3.25,1.67
2.92,2.92,2.58,3.25,3
2.92,2,1.5,4.08,3.33
4.33,2.42,3.17,3.58,3
3.75,1.75,4.08,3.58,2.17
3.08,2.25,2.83,3.17,2.5
3.5,3.08,3.33,3,2.92
2.58,2.33,2.83,2.42,4.33
3.08,2.5,2.92,3.17,2.83
2.42,3.17,4.5,3.25,1.5
4.08,2.75,3.08,3.25,4.83
3.58,2.42,4.17,3.75,3.5
3.92,1.83,2.92,4.33,4.67
3.17,2.17,3.58,3.5,3.58
4.58,4.5,4.42,4.42,2.33
3.33,2.67,2.33,3,2.83
2.92,2.17,4.42,3.17,4.08
3.5,3.92,3.33,4.5,1.67
2.92,3.25,4.58,2.92,3
3.75,2.67,3.75,2.08,4.5
3.25,2.33,3.42,4.25,3
3,2.83,2.33,4.17,3.25
1.83,1,2.58,2.25,3
4.17,2.25,4.42,4.25,2
3.33,2.17,4.83,3.92,4.17
4.08,2.67,2.5,3.42,3.58
3.17,3.08,2.08,2.92,4
3.17,2.92,3.83,1.92,3.08
3.17,1.17,3.67,3.25,2.08
2.58,2.83,3.92,3.25,2.08
3.92,2.5,2.17,3.33,2.42
4.08,2.75,2.33,3.42,4.17
4.5,3.17,4.25,3.25,3.92
3.58,3.17,2.17,2.5,4.5
3.92,3,4.25,4.17,2.33
3.83,3.42,3,4,2.58
3.67,2.58,2.75,3.25,3.83
3.5,2.17,1.83,4.25,2.33
4,3.58,2.67,3.92,2.92
4.33,3.42,3.42,3.83,1.17
3.33,3.33,1.92,3.83,3
4.25,3.75,3.42,4.17,1.83
4.75,1.83,2.25,2.33,4.5
2.75,3.67,4,3.75,3.75
3.08,3.67,4.08,3.33,2.42
3.33,3.42,3.42,3.33,4.33
4.08,3.25,4.17,3.25,2.08
2.83,3.5,2.25,3.67,4.58
3.83,2.5,3.58,4,2.58
3.17,3,2.17,3.25,4.33
4.42,3.42,3.42,2.75,3.08
2.58,2.83,2.42,3.92,2
3,2.92,3.17,3.42,3.08
3.92,3.5,3.25,2.75,2.42
4.17,3.08,3.92,2.58,1.58
3,2.92,3.25,3.42,2.17
2.83,3.83,3.08,3,1.58
4.25,3.58,4.08,3.17,2.92
2.83,2,2.33,2.08,3.83
4.08,2.75,3.5,3.5,3.25
3,3,3.08,3.17,3
3.83,2.58,2.92,4,3.17
3.5,2.58,3.25,2.92,2.83
3.83,3,2.92,4.17,2.5
3.83,3,4,3.5,3.08
3.75,2.08,3,2.92,3
2.83,3.25,3.08,4.08,1.17
3.17,2.83,4,4.25,2.42
3.42,3.92,4.25,4.25,3.42
3.67,3.42,1.33,3.67,4.58
3.92,2.5,2.67,4.17,1.33
4,1.33,1.67,2.58,4
4,2.75,4.92,3.25,2.42
3.42,2.25,2.25,3.5,3.25
3.17,2.83,2.92,3.33,2.42
2.67,2.67,2.83,4.08,3.58
3.42,3.42,2.33,3.08,3.67
4.42,3.75,4.33,3.25,3.33
3.83,2.67,3.5,3.5,5
3.08,2.58,2.83,2.5,2.33
3.67,2.92,2.08,2.33,2.17
3.75,1.5,2.25,3.08,4.67
3.83,2.58,3.67,3.17,2.08
2.83,2.33,2.83,3.08,3.83
2.42,3.08,2.58,2.75,2.92
2.5,1.42,3.17,3.83,3.33
4,1.5,4.67,2.25,2.75
3.5,1.67,1.33,2.17,2.25
3.42,2.92,3.75,3.67,2.83
2.92,2.92,3.25,3.08,3.33
3.08,2.92,2.83,3.58,2.83
3.33,3.42,4.08,3.75,3.5
3,1.75,3.92,3.42,3.25
3,3,3,3,3
4,3.08,4.25,4.08,3.58
3.08,1.83,2.75,2.58,4.33
3.17,2.42,2.58,2.25,4.42
3,2.33,4.5,2.17,3.17
2.17,3.5,3.25,2.83,2.92
3.5,4.5,4,3.58,3.58
4.58,2.08,3.42,2.83,2.58
5,3.75,3.25,4.33,2.5
2.92,1.67,4.17,3.08,2.58
2.5,3.5,2.17,3.25,1.67
2.92,2.92,2.58,3.25,3
2.92,2,1.5,4.08,3.33
4.33,2.42,3.17,3.58,3
3.75,1.75,4.08,3.58,2.17
3.08,2.25,2.83,3.17,2.5
3.5,3.08,3.33,3,2.92
2.58,2.33,2.83,2.42,4.33
3.08,2.5,2.92,3.17,2.83
2.42,3.17,4.5,3.25,1.5
4.08,2.75,3.08,3.25,4.83
3.58,2.42,4.17,3.75,3.5
3.92,1.83,2.92,4.33,4.67
3.17,2.17,3.58,3.5,3.58
4.58,4.5,4.42,4.42,2.33
3.33,2.67,2.33,3,2.83
2.92,2.17,4.42,3.17,4.08
3.5,3.92,3.33,4.5,1.67
2.92,3.25,4.58,2.92,3
3.75,2.67,3.75,2.08,4.5
3.25,2.33,3.42,4.25,3
3,2.83,2.33,4.17,3.25
1.83,1,2.58,2.25,3
4.17,2.25,4.42,4.25,2
3.33,2.17,4.83,3.92,4.17
4.08,2.67,2.5,3.42,3.58
3.17,3.08,2.08,2.92,4
3.17,2.92,3.83,1.92,3.08
3.17,1.17,3.67,3.25,2.08
2.58,2.83,3.92,3.25,2.08
3.92,2.5,2.17,3.33,2.42
4.08,2.75,2.33,3.42,4.17
4.5,3.17,4.25,3.25,3.92
3.58,3.17,2.17,2.5,4.5
3.92,3,4.25,4.17,2.33
3.83,3.42,3,4,2.58
3.67,2.58,2.75,3.25,3.83
3.5,2.17,1.83,4.25,2.33
4,3.58,2.67,3.92,2.92
4.33,3.42,3.42,3.83,1.17
3.33,3.33,1.92,3.83,3
4.25,3.75,3.42,4.17,1.83
4.75,1.83,2.25,2.33,4.5
2.75,3.67,4,3.75,3.75
3.08,3.67,4.08,3.33,2.42
3.33,3.42,3.42,3.33,4.33
4.08,3.25,4.17,3.25,2.08
2.83,3.5,2.25,3.67,4.58
3.83,2.5,3.58,4,2.58
3.17,3,2.17,3.25,4.33
4.42,3.42,3.42,2.75,3.08
2.58,2.83,2.42,3.92,2
3,2.92,3.17,3.42,3.08
3.92,3.5,3.25,2.75,2.42
4.17,3.08,3.92,2.58,1.58
3,2.92,3.25,3.42,2.17
2.83,3.83,3.08,3,1.58
4.25,3.58,4.08,3.17,2.92
2.83,2,2.33,2.08,3.83
4.08,2.75,3.5,3.5,3.25
3,3,3.08,3.17,3
3.83,2.58,2.92,4,3.17
3.5,2.58,3.25,2.92,2.83
3.83,3,2.92,4.17,2.5
3.83,3,4,3.5,3.08
3.75,2.08,3,2.92,3
2.83,3.25,3.08,4.08,1.17
3.17,2.83,4,4.25,2.42
3.42,3.92,4.25,4.25,3.42
3.67,3.42,1.33,3.67,4.58
3.92,2.5,2.67,4.17,1.33
4,1.33,1.67,2.58,4
4,2.75,4.92,3.25,2.42
3.42,2.25,2.25,3.5,3.25
3.17,2.83,2.92,3.33,2.42
2.67,2.67,2.83,4.08,3.58
3.42,3.42,2.33,3.08,3.67
4.42,3.75,4.33,3.25,3.33
3.83,2.67,3.5,3.5,5
3.08,2.58,2.83,2.5,2.33
3.67,2.92,2.08,2.33,2.17
3.75,1.5,2.25,3.08,4.67
3.83,2.58,3.67,3.17,2.08
2.83,2.33,2.83,3.08,3.83
2.42,3.08,2.58,2.75,2.92
2.5,1.42,3.17,3.83,3.33
4,1.5,4.67,2.25,2.75
3.5,1.67,1.33,2.17,2.25
3.42,2.92,3.75,3.67,2.83
2.92,2.92,3.25,3.08,3.33
3.08,2.92,2.83,3.58,2.83
3.33,3.42,4.08,3.75,3.5
3,1.75,3.92,3.42,3.25
3,3,3,3,3
4,3.08,4.25,4.08,3.58
3.08,1.83,2.75,2.58,4.33
3.17,2.42,2.58,2.25,4.42
3,2.33,4.5,2.17,3.17
2.17,3.5,3.25,2.83,2.92
3.5,4.5,4,3.58,3.58
4.58,2.08,3.42,2.83,2.58
5,3.75,3.25,4.33,2.5
2.92,1.67,4.17,3.08,2.58
2.5,3.5,2.17,3.25,1.67
2.92,2.92,2.58,3.25,3
2.92,2,1.5,4.08,3.33
4.33,2.42,3.17,3.58,3
3.75,1.75,4.08,3.58,2.17
3.08,2.25,2.83,3.17,2.5
3.5,3.08,3.33,3,2.92
2.58,2.33,2.83,2.42,4.33
3.08,2.5,2.92,3.17,2.83
2.42,3.17,4.5,3.25,1.5
4.08,2.75,3.08,3.25,4.83
3.58,2.42,4.17,3.75,3.5
3.92,1.83,2.92,4.33,4.67
3.17,2.17,3.58,3.5,3.58
4.58,4.5,4.42,4.42,2.33
3.33,2.67,2.33,3,2.83
2.92,2.17,4.42,3.17,4.08
3.5,3.92,3.33,4.5,1.67
2.92,3.25,4.58,2.92,3
3.75,2.67,3.75,2.08,4.5
3.25,2.33,3.42,4.25,3
3,2.83,2.33,4.17,3.25
1.83,1,2.58,2.25,3
4.17,2.25,4.42,4.25,2
3.33,2.17,4.83,3.92,4.17
4.08,2.67,2.5,3.42,3.58
3.17,3.08,2.08,2.92,4
3.17,2.92,3.83,1.92,3.08
3.17,1.17,3.67,3.25,2.08
